観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
宮津市宮村,集落内,135.2002778,35.52805556,2016/6/14,1,,,住宅街でクマを目撃した。,,防災無線にて注意喚起。,26205,宮津市
京丹波町井尻,その他,135.3577778,35.17861111,2016/6/14,,,1,カーテンを開けると家の外の山すそにクマがいた。,,,26407,京丹波町
京丹後市峰山町新町,水田,135.0916667,35.61055556,2016/6/15,,1,,ワイヤーメッシュ柵内を移動するクマを目撃した。,60cmくらい,市、府職員により現地確認。クマ発見できず。地区内、関係者に注意喚起。,26212,京丹後市
京都市左京区久多上の町,その他,135.8065306,35.28688889,2016/6/15,,,1,目撃者が車両で久多・中上の町線を桂橋から南下中に発見。桂橋南約100Mを西側の山の斜面へ上がって行った。,100cmくらい,,26103,京都市
舞鶴市白滝,路上,135.3908472,35.41807778,2016/6/15,,1,,山側へ移動,,,26202,舞鶴市
舞鶴市白屋,路上,135.4688028,35.49828889,2016/6/15,,1,,道路を横断しているのを目撃,,,26202,舞鶴市
京都市左京区鞍馬,路上,135.7869444,35.15666667,2016/6/15,,,3,府道走行中、路上から山に移動するクマを目撃,,,26103,京都市
京丹後市網野町木津,路上,134.9919444,35.65777778,2016/6/15,,1,,畑から出てきて路上をウロウロした後山側へ逃げようとするもコンクリートの擁壁を登れず右往左往しているクマを目撃した。,80cmくらい,,26212,京丹後市
舞鶴市泉源寺,天然生林,135.3979417,35.48763611,2016/6/15,,1,,泉源寺教育隊より大波より付近の山際で、子グマを目撃。驚いてすぐ山に帰った,,,26202,舞鶴市
綾部市位田町,水田,135.2397333,35.32305278,2016/6/16,,,1,牛乳回収業者が白波瀬牧場に行く途中に目撃。東の山へ移動,,,26203,綾部市
宮津市皆原,集落内,135.2161111,35.53305556,2016/6/16,1,,,集落内でクマを目撃した。,,,26205,宮津市
宮津市須津,路上,135.1491667,35.55305556,2016/6/16,1,,,国道を車で走行中にクマを目撃した。その後横断し消防署の裏側へ移動して行った。,,,26205,宮津市
宮津市小田宿野,その他,135.2525,35.5575,2016/6/16,1,,,海洋センター敷地内で職員がクマを目撃した。,,捕獲檻設置中,26205,宮津市
福知山市正明寺,畑,135.1006222,35.28588056,2016/6/16,,,,痕跡　畑に新たなクマらしき動物の足跡,,,26201,福知山市
京丹後市久美浜町河梨,集落内,134.8675,35.59138889,2016/6/16,1,,,熊野神社鳥居付近より境内方向へ歩いていくクマを目撃した。,,,26212,京丹後市
舞鶴市上福井,路上,135.2772556,35.44831111,2016/6/16,1,,,175号線を横断して、北側の竹やぶに移動,,,26202,舞鶴市
舞鶴市女布,天然生林,135.3204667,35.42643056,2016/6/16,1,,,城南会館から50〜60ｍほど集落に入った辺りで、南側の山手から北側の山手（民家の一番手前の裾を入っていった）に向かうクマを目撃,１ｍ,,26202,舞鶴市
福知山市市寺,集落内,135.1017583,35.28313611,2016/6/17,,,,痕跡　工場の敷地内にクマのフンがある,,,26201,福知山市
宮津市須津,路上,135.1472222,35.55305556,2016/6/17,,1,,国道を走行中にクマを目撃した。,,,26205,宮津市
福知山市雲原,路上,135.0580083,35.40988611,2016/6/17,,,1,府道桑村雲原線（５３０号）を走行中、山へ入っていくクマを目撃,,,26201,福知山市
舞鶴市女布,集落内,135.321225,35.42598333,2016/6/17,,,1,女布２２０「山鉄」付近、南側から山の奥へ移動,,,26202,舞鶴市
宮津市中波見,路上,135.2338889,35.62888889,2016/6/18,,,1,府道から山へ向かって歩いていくクマを目撃した。,,,26205,宮津市
京丹後市大宮町三重,路上,135.1288889,35.56472222,2016/6/18,,2,,車で走行中に道路を横断する子グマを目撃した。,80cmくらい,,26212,京丹後市
京丹波町市場,路上,135.4194444,35.25666667,2016/6/18,,1,,道端にかじられた後のスイカがあり、その近くでクマを目撃。クマはすぐに山へ逃げていった。,,,26407,京丹波町
京都市右京区京北下中町,路上,135.6214139,35.20033333,2016/6/18,1,,,府道走行中、路上に飛び出したクマと衝突,,,26108,京都市
宮津市中波見,集落内,135.2305556,35.63388889,2016/6/18,1,,,集落内でクマを目撃した。,,,26205,宮津市
宮津市日置,路上,135.2247222,35.61638889,2016/6/18,1,,,住民が車で走行中にクマを目撃した。,,,26205,宮津市
宮津市新宮,集落内,135.2402778,35.51583333,2016/6/18,1,,,クマを目撃した。,,,26205,宮津市
京丹後市峰山町鱒留,路上,135.0111111,35.59388889,2016/6/19,,1,,国道３１２号線を走行中に目撃した。北側の山へ逃げた。,,,26212,京丹後市
舞鶴市白屋,路上,135.437975,35.49458056,2016/6/19,1,,,舞鶴高専前のバス停付近で道路から山の方向に移動するクマを目撃,１．２ｍ,,26202,舞鶴市
京都市左京区広河原,河川敷,135.7572528,35.25351667,2016/6/19,1,,,釣りをしているところ目の前をクマが横切った,,,26103,京都市
京都市左京区上高野,天然林,135.7988167,35.06429722,2016/6/19,,,3,住宅裏の山中にいるクマを目撃,,,26103,京都市
宮津市須津,路上,135.1469444,35.5525,2016/6/19,,1,,クルミの木の近くに出没し、山の方へ歩いていった。,50〜60cmくらい、中型犬ほどの大きさ,,26205,宮津市
宮津市脇,水田,135.2397222,35.53527778,2016/6/19,1,,,新宮中村交差点付近の農地でクマを目撃した。,,,26205,宮津市
宮津市新宮,集落内,135.2402778,35.51583333,2016/6/19,1,,,クマを目撃した。,,,26205,宮津市
舞鶴市瀬崎,路上,135.3607917,35.413775,2016/6/19,,1,,火力発電所から三浜に抜ける林道（舞鶴半島外海展望台の近く）で目撃,５０ｃｍ,,26202,舞鶴市
舞鶴市吉野,路上,135.4379028,35.49441389,2016/6/19,,,1,高専側から府道を横断して西側、山中に移動するのを目撃,,,26202,舞鶴市
京丹後市峰山町五箇,その他,135.0502778,35.57305556,2016/6/20,,1,,旧あまご茶屋敷地内をうろうろしていた。,50cmくらい,,26212,京丹後市
与謝野町石川（堂谷）,集落内,135.1344444,35.54361111,2016/6/20,,1,,自宅裏の畑で目撃した。ロケット花火で追い払った。,70cmくらい,地区内放送にて注意喚起,26465,与謝野町
京丹後市網野町木津,路上,134.9936111,35.65833333,2016/6/20,,,1,路上から北側へ移動するクマを目撃した。,,区長に連絡済み,26212,京丹後市
舞鶴市千歳,集落内,135.3432111,35.52634722,2016/6/20,,1,,関西電力敷地内で目撃。敷地外へ移動,,,26202,舞鶴市
舞鶴市白杉,路上,135.33155,35.51078889,2016/6/20,1,,,道路から山側へ移動,１ｍ,,26202,舞鶴市
綾部市位田町,集落内,135.2363056,35.32430833,2016/6/20,1,,,京都農業大学校グラウンド内で目撃,,,26203,綾部市
宮津市新宮,集落内,135.2402778,35.51583333,2016/6/20,1,,,クマを目撃した。,,,26205,宮津市
京都市右京区京北小塩町,集落内,135.7022028,35.21847778,2016/6/20,1,,,府道を横断するクマを目撃,,,26108,京都市
舞鶴市長谷,路上,135.2521056,35.48386111,2016/6/20,,,1,長谷１８９から１５〜２０ｍ離れたところで目撃,,,26202,舞鶴市
舞鶴市堂奥,路上,135.4233889,35.46716111,2016/6/20,,,1,堂奥（ツバサ工業）付近でクマが道路を西へ横断するのを目撃,,,26202,舞鶴市
舞鶴市寺田,集落内,135.3863889,35.42728889,2016/6/20,,1,,寺田集会所裏山で子グマが山へ移動するのを目撃,,,26202,舞鶴市
南丹市美山町,路上,135.5644444,35.3225,2016/6/20,1,1,,クマが山側より国道を横断し、川の方へ行った。,,,26213,南丹市
舞鶴市池ノ内下,集落内,135.3489444,35.40069167,2016/6/20,1,,,池ノ内下１７５番地、民家裏の山手の畑にいるのを目撃,,,26202,舞鶴市
京都市右京区京北灰屋町,スギ林,135.7312139,35.18095556,2016/6/21,1,,,林内作業中にクマを目撃,,,26108,京都市
京都市左京区久多,路上,135.8056611,35.28933611,2016/6/21,,,1,自宅玄関前にいるクマを目撃,,,26103,京都市
舞鶴市滝ヶ宇呂,集落内,135.1959667,35.46395278,2016/6/21,,,1,滝ヶ宇呂３１２番地人家付近でクマが西側へ移動するのを目撃,,,26202,舞鶴市
綾部市高槻町,路上,135.3108028,35.371075,2016/6/21,,,1,林道を西へ移動,,,26203,綾部市
舞鶴市吉野,集落内,135.429525,35.49850833,2016/6/21,,,1,吉野の新吉野橋の付近で目撃,,,26202,舞鶴市
舞鶴市市場,集落内,135.415425,35.475925,2016/6/21,,1,,市場、博愛苑職員駐車場付近の電信柱に子グマが登っているのを目撃。梅ヶ谷方面の山に逃げた。,,,26202,舞鶴市
与謝野町石川（堂谷）,その他,135.1333333,35.54138889,2016/6/21,,1,,フェンスの民家側にいる子グマを目撃した。,,,26465,与謝野町
京丹後市丹後町徳光,路上,135.0838889,35.70972222,2016/6/22,,,1,府道碇網野線交差点から砂方区方向の道路から山へ移動するクマを目撃した。,,,26212,京丹後市
与謝野町石川（堂谷）,その他,135.1333333,35.54138889,2016/6/22,,1,,伊達農園作業場付近でクマを目撃した。,,,26465,与謝野町
与謝野町滝,河川敷,135.0880556,35.48333333,2016/6/22,,,1,由利橋周辺で小さいクマを目撃した。,,,26465,与謝野町
京丹後市大宮町奥大野,集落内,135.0819444,35.56083333,2016/6/22,,1,,民家前でクマを目撃した。,,,26212,京丹後市
綾部市位田町,路上,135.2269639,35.32212778,2016/6/22,,,1,以久田農道を横切り、山の方へ移動,,,26203,綾部市
舞鶴市池ノ内下,集落内,135.349575,35.40083889,2016/6/23,1,,,池ノ内下の高上橋から林道のあたりで目撃,,,26202,舞鶴市
京都市左京区鞍馬本町,スギ林,135.7697222,35.11638889,2016/6/23,,,1,山中でクマを目撃,,,26103,京都市
京丹後市久美浜町栃谷,路上,134.9119444,35.59416667,2016/6/23,,,1,岩手峠頂上付近を横断するクマを目撃した。,,,26212,京丹後市
京丹後市大宮町口大野,集落内,135.0922222,35.58,2016/6/23,,1,,民家の裏山で目撃した。,,区長に注意喚起済み,26212,京丹後市
宮津市日置,路上,135.2252778,35.61583333,2016/6/23,1,,,府道から山へ移動するクマを目撃した。,,注意喚起の放送済み,26205,宮津市
南丹市日吉町,路上,135.5027778,35.16333333,2016/6/23,,1,,保野田駐在所前でクマを目撃。北側の山手方向へ逃げた。,,,26213,南丹市
舞鶴市地頭,路上,135.2192694,35.42656667,2016/6/23,,1,,由良川橋から50から100ｍ加佐中学校寄りの歩道から山へ移動する子グマを目撃,,,26202,舞鶴市
舞鶴市小倉,路上,135.4254,35.48036944,2016/6/23,1,,,焼き肉じゅう八付近の路上を走るクマを目撃,,,26202,舞鶴市
福知山市山野口,水田,135.1669722,35.34047222,2016/6/23,1,,,府道私市大江線を走行中、あぜ道に入っていくクマを目撃,,,26201,福知山市
福知山市三和町友渕,路上,135.2731944,35.18555556,2016/6/23,1,,,９７号線を走行中、川の方へ移動するクマを目撃,１．２ｍ,,26201,福知山市
舞鶴市引土,集落内,135.32405,35.443275,2016/6/23,,,1,円隆寺境内で目撃。夜間だったため、クマでない可能性も,,,26202,舞鶴市
舞鶴市万願寺,集落内,135.3233167,35.44312778,2016/6/23,,,1,満願寺付近で目撃。山林へ移動,,,26202,舞鶴市
京都市左京区上高野,天然林,135.7967667,35.06524167,2016/6/24,,,1,自宅の裏山でクマを目撃した,,,26103,京都市
京丹波町下粟野,河川敷,135.4258333,35.29694444,2016/6/24,1,,,上和知川沿いから山側へ移動するクマを目撃。,,,26407,京丹波町
綾部市睦寄町,集落内,135.4344361,35.36226667,2016/6/25,,1,,睦寄町志古田の住宅奥で目撃。住宅奥の山道を奥山方面に逃亡,１ｍ,,26203,綾部市
京丹後市大宮町久住,路上,135.1311111,35.61361111,2016/6/25,,1,,自動車で走行中に目撃した。,,,26212,京丹後市
宮津市喜多,集落内,135.1883333,35.51861111,2016/6/25,,1,,自宅前でクマを目撃した。,,,26205,宮津市
南丹市日吉町,路上,135.5136111,35.16222222,2016/6/25,,1,,クマが道路を横断し、北側の山手方向へ逃げるのを目撃。,,,26213,南丹市
舞鶴市堂奥,路上,135.4177639,35.45500833,2016/6/25,,,1,舞鶴東ＩＣ側から、木ノ下、与保呂方面につながる市道で自動車道側から指導を横断して、西側の山の中に移動,１ｍ,,26202,舞鶴市
舞鶴市安岡,路上,135.43505,35.48482778,2016/6/25,,,1,安岡公会堂付近の線路上を住宅側から山側に移動,,,26202,舞鶴市
与謝野町石川（堂谷）,集落内,135.1341667,35.54333333,2016/6/26,,1,,プラムの木にクマの爪痕を発見した。,,,26465,与謝野町
宮津市獅子,その他,135.2244444,35.56,2016/6/26,,1,,特養付近でクマを目撃した。,,,26205,宮津市
京丹波町本庄,路上,135.4125,35.25611111,2016/6/26,1,,,クマが国道２７号線を渡り、集落内へ走っていった。,,,26407,京丹波町
舞鶴市引土,天然生林,135.3248389,35.44346667,2016/6/27,,,,クマかも？２頭？姿は見えないが、自宅付近の山林の中で音がする。,,,26202,舞鶴市
京丹後市大宮町奥大野,路上,135.0822222,35.55944444,2016/6/27,1,,,府道を与謝野町から大宮方面へ移動中に目撃した。,100cmくらい,,26212,京丹後市
与謝野町石川（堂谷）,集落内,135.1341667,35.54333333,2016/6/27,,1,,民家裏で怪我をした子グマを目撃した。,,,26465,与謝野町
京丹後市大宮町谷内,路上,135.1016667,35.56166667,2016/6/27,,,1,川から山の方向へ道路を横断するクマを目撃した。,60cmくらい,,26212,京丹後市
京丹後市久美浜町佐野,路上,134.9902778,35.57638889,2016/6/27,1,,,北の山側からおりてきてガードレールのところで立ち上がり道を見ていたが、その後元の山へ戻った。,大きい,,26212,京丹後市
京丹後市久美浜町佐野,路上,134.9902778,35.57638889,2016/6/27,1,,,比治の里より佐野側１００M程のところでクマを目撃した。,かつてないほど大きかった,近所の人には注意喚起済み、市役所連絡済み,26212,京丹後市
京丹後市久美浜町尉ヶ畑,路上,134.9786111,35.53611111,2016/6/27,,,1,たんたんトンネル付近でクマを目撃した。左側の山へ逃げて行った。,,,26212,京丹後市
京都市右京区京北小塩町,スギ林,135.6842417,35.24153611,2016/6/27,1,,,林内作業中に山中でクマを目撃,,,26108,京都市
宮津市獅子崎,集落内,135.2136111,35.55361111,2016/6/27,,,1,クマの出没形跡があった。,,,26205,宮津市
